text,label
"Siri, remind me to call Papa at 7 PM tonight.",1
make reminder to pay rent on the 30th of every month,1
"You know, for the picnic... yeah... uh... bring salad. Thanks.",1
"This data is interesting, what should we do with it?",1
the financial difficulties spread throughout florida,0
What is 200 British Pounds in Indian Rupees today?,1
a public school was established in 1640,0
this is the slightly unstable  spiral mode,0
"My printer is showing some error again, god knows what happened.",0
what is the current time right now in hollywood,1
geary turned his into a lamp,0
what is the most expensive building on wall street,1
time senate other ctvglobemedia,0
it is now the college of education,0
"Draft a response to this customer inquiry, and also cc Legal on it.",1
The historical significance of the Charminar is quite immense.,0
My garden is finally starting to show some real promise this year.,0
Turn on the dishwasher before you go to bed.,1
before becoming an mep he was a salesman for british telecom for 28 years,0
change this song it sucks so bad,1
what place were you born,1
when does this place let us have a holiday next,1
university guide 2008 guardian unlimited university guide 2008 law,0
how long to seattle on a bus,1
This filter coffee is not as strong as I like it.,0
many others worked in timber and mining operations in the mountains to the east,0
"The monsoon seems to have arrived early this year, no?",0
Could you withdraw ₹5000 cash from the ATM for expenses?,1
the company owns and manages several major shopping malls including festival walk and cityplaza,0
is the patriarchy a valid concept,1
how can i make changes for my insurance policy,1
and is valid more generally for any connection formconnection in a principal bundle,0
post my gps coordinates to my facebook friends,1
That moment in a movie when everything clicks is just so satisfying.,0
your birthplace is where,1
unfortunately the article is not sourced,0
how many people fall victim to internet scams per year,1
That old book shop in the crowded market area has some real gems.,0
how much are my xfinity and dte bills,1
what is the total of my bank accounts,1
what is the best way to keep my credit score from going down,1
inmates described her as vulgar thin and ugly,0
please flip the coin,1
Finalize the Q3 budget projections and submit them for approval.,1
I am entirely too dependent on caffeine to function properly in the mornings.,0
please put in a pto request for june 5th and 6th,1
I'm fairly certain the solution lies in better communication.,0
when will the day off be,1
gate became qubayba,0
can you list me tiger wood's stats,1
Could you send me the photos from the office event last week?,1
who has the most subscribers on youtube,1
melton carnegie museum is based in melton mowbray,0
"Google, find me some quick and easy breakfast ideas.",1
"Purchase more printer ink cartridges, black and colour.",1
my check engine light is on and someone needs to look at it,1
Check the expiration date on the milk before you use it.,1
can you flip a coin i pick heads,1
i need my savings account placed under a block as soon as possible,1
"Assistant, set the AC temperature to 24 degrees Celsius.",1
slaughter defeating him for his third wwf championship,0
volume should be set at 4,1
could you set up a timer for me,1
make their released is,0
"Text Mike: 'Hey, are we still on for tonight?'",1
she has also been named a bronx legend 1999,0
how much longer until my credit card application is checked,1
my credit card application status,1
what things can i do to increase my credit score,1
"The sudden change in weather today was unexpected, sunny now cloudy.",0
46 the chalet school wins the trick,0
Book an urgent meeting with the vendor to discuss the delayed delivery.,1
what's the danger level of flying to russia right now,1
"Google, give me five random facts.",1
tell me the expiration date for my current credit card,1
rethinking international organization deregulation and global governance p 64,0
how many ways can i make $1 using standard us coins,1
the site also contains the ruins of dysert o dea monastery,0
The smell of rain hitting dry earth is one of my favourite scents.,0
Kindly send me the link to register for the upcoming workshop.,1
what do you think we are on earth for,1
"The curtains in the guest room need to be changed, they are quite old.",0
"Adjust the brightness of the screen, it's hurting my eyes.",1
The morning ritual of having chai and reading the paper is my favourite.,0
My mobile data seems to be finishing very fast these days.,0
they are now drawing driving,0
"These new online payment apps are very convenient, really.",0
child sacrifice was practiced by the gauls celts and the irish people,0
what plug type does greece use,1
he also played futsal for two years,0
what country are you from,1
That specific flavour of Lays potato chips is my absolute favourite.,0
how do i switch to a new insurance plan,1
i need 2000 to go to my chase checking from my mellon bank savings account,1
i need new language,1
who is the person responsible for creating you,1
add my dentist appointment to the calendar,1
his 1938 logic the theory of inquiry is peircean through and through,0
construction started in september 2000 following eight years of research,0
I believe transparency is key in situations like this.,0
tell me your thoughts about the meaning of life,1
the bikes would be badged ktm,0
how is my name saved,1
"That new Italian place is open, let's try it for dinner and I'll make a reservation.",1
My parents are planning to visit us next month for Diwali.,0
america online aol retention manual uploaded in full 7mb pdf,0
my discover card has been stolen,1
Send a brief update email to the manager on task completion percentage.,1
oranges expire in how long,1
We have to finish coding this feature before the sprint ends.,1
if so i have no interest in the project,0
would you play the next song,1
let the folks know my gps coordinates,1
"He's very good at fixing small household items himself, DIY kind of person.",0
in 1915 as a child prelog moved to zagreb croatia with his parents,0
torrence was berrys best man at the wedding,0
How long will it generally take to get to the International Airport from here at this hour?,1
i want to hear what you think life's purpose is about,1
"The neighbour's dog keeps barking all night, it's very disturbing.",0
does it give an error message,0
i would like to get a new insurance plan,1
some of the most popular are,0
how busy is mc donald at 8 in the morning,1
habitat for mexican spotted owl to stand,0
i'm out of paper towels so will you put that on my shopping list,1
The fragrance of Jasmine flowers at night is so captivating.,0
tke light rail 615 from tsuen mum station,0
contest may also refer to,0
"Time flies so quickly, it's almost evening already!",0
I need to get my laptop repaired; the screen is flickering.,0
i'd like to hear a joke about donkeys,1
am i scheduled for any meetings between noon and one,1
The view from this window is breathtaking.,0
what are your capabilities,1
the zodiacs authorship of this letter is debated,0
how many points have i earned with my chase card,1
the name comes from an early settler,0
sherwood describes leon as so sweet and focused,0
He's got a very distinctive laugh; you can always tell when he's nearby.,0
next song please,1
he won the matteucci medal in 1895,0
show me what's on the shopping list,1
"I think this is a great idea, and you should present it at the next all-hands meeting.",1
"My neighbor's dog barks every time someone uses the staircase, very annoying.",0
sydney and vaughn survive the car crash but vaughn is taken by an unknown organization,0
the lining was performed using 20 40nbspcm thick italian marble,0
"Alexa, shuffle my 'Morning Workout' playlist.",1
is it ok if i start speaking to you in german,1
on 4 april dumouriez and louis philippe left for the austrian camp,0
Kindly make arrangements for a projector in the conference room.,1
she also wrote and distributed campaign literature,0
the term kabbalah means literally acceptance,0
nelsons blood the story of naval rum,0
what is the definition of the word migrate,1
which marvel character has appeared in the most movies,1
The monsoon usually arrives by the first week of June in this region.,0
"Change the channel, I don't like watching these old mythological serials.",1
cerulean studios announcement of 10 millionth download,0
rt gastrinomas advances in diagnosis and management,0
It's always surprising how many different shades of green exist in nature.,0
pigs in a blanket day,0
what are some ways to prepare portabello mushrooms,1
"My head hurts, so I'm taking an aspirin, and can you lower the blinds?",1
what firm is responsible for your design,1
what were some of ben franklin's notable accomplishments,1
tell me my name,1
stone age pottery was painted with spirals zigzags dots or animals,0
notable nikkor branded optics have included,0
wolves the great travelers of evolution,0
clearly people think they are,0
the user should be required to choose another name,0
"thinking about cooking dinner, what should i make",1
rice county minnesota is named for him,0
"Create a quick note: 'Groceries to buy - atta, dal, rice, sugar'.",1
can you move to the next song,1
settlements in the borough include,0
the frontispiece was engraving by william marshall illustrator,0
The new Metro line construction is causing a lot of dust here.,0
please give me the expected arrival date for my next paycheck,1
during his teenage years bakshi took up boxing,0
"The waiting list for specialized doctors is often months long, crazy system.",0
"Broadcast a message to all rooms: 'Lunch is served, everyone please come.'",1
some of these credentials have been questioned,0
program derivation tries to remedy these shortcomings by,0
british columbia can be found in what timezone,1
Prepare a brief summary of today's key decisions.,1
His understanding of quantum physics is well beyond my own.,0
please unsync my phone,1
let me bank know i will be in brazil from june 1st to july 1st,1
My commute this morning was an absolute nightmare.,0
"The street lights in our lane are often not working, quite dark at night.",0
Add 'renew newspaper subscription' to my tasks for next Monday.,1
the poor also tend to be less educated,0
for more than a month,0
That new recipe for lasagna was a definite hit with the family.,0
The traffic police checkpoint on this road is very effective in reducing speeding.,0
will you start a timer for me,1
in the variables  xi respectively,0
david ball formed the grid in 1990 with richard norris musician,0
The traffic jam at that junction is notorious during peak hours.,0
provide assistance by setting an alarm at 8:00 and another for 11:00,1
"Google, find information about Jim Corbett National Park.",1
in after with,0
it is part of the mitchell south dakota mitchell micropolitan area,0
allen county parks are only partially tax supported,0
both maybe,1
"Just so you know, the fire drill is scheduled for 2 PM; you need to evacuate via Stairwell B.",1
there are two broad categories of square dance,0
please be sure to put folding laundry on my to do list for me,1
i want to get an uber for one person to go to the library,1
can we stop my bank account,1
despite its derogatory nickname most of the group were top ten heavyweights,0
the covalent bonds increase the stability of the fibrin clot,0
i'm out of kleenex so will you put that on my shopping list,1
Add 'visit relative in hospital' to my tasks for Friday afternoon.,1
the first creation was in the peerage of england in 1605,0
in the past this was compulsory for the whole school,0
The food festival downtown was packed but really fun.,0
frontier the popular rest,0
how many pokemon are there,1
what is the time zone of china,1
martinez built a hacienda in pinole valley at the present side of pinole valley park,0
can you tell me how much money i have i my bank accounts,1
the illini publishing company was chartered by the state of illinois in 1911,0
and since the remaining tenth was still so numerous they too were decimated,0
i would like to request pto for march 2 and 3,1
former deputy prime minister joins uwa,0
he gained confidence after he learned to box,0
can you switch me to a new insurance plan,1
can you find me my phone,1
"The school fees have increased again this year, difficult to manage.",0
blake threatened to resign if something was not done,0
found fan sleeping is,0
sdsus athletic mascot is the jackrabbit,0
This vintage watch has such an interesting backstory.,0
she and her daughter sonora live in mohnton pennsylvania,0
in of court,0
all forester 25nbspl engines are of the interference engine type,0
what is the apr on my aaa visa card,1
tell me something neat about slinkies,1
"This new detergent smells really good, which brand is it?",0
"what's the apr on my amex card, please",1
encyclopaedia of the philosophical sciences,0
palo alto is located at,0
"Find a good recipe for vegan chili, I'm having guests over.",1
he was also painted by joshua reynolds and thomas gainsborough,0
what place were you born at,1
He is applying for a visa to go to the UK for studies next semester.,0
where is my w2,1
which sport is the most fun,1
foote had miscalculated following his easy success at fort henry,0
can you please help me start the car,1
i'd like to change my pin number for my checking account,1
how can i get involved in yoga,1
"That little café on the corner, yeah, they make, like, the best pastries, I swear.",0
there are several south island based trade union organisations,0
feed on the lime,0
"Arre yaar, this traffic jam is never going to end, no?",0
are you able to lookup my credit rating,1
could you change the accent you're using,1
the second focused on its exculpatory value,0
tell me something interesting about elephants,1
the film was a critical success,0
i want you to speak in french,1
a full metal panic episode took place in nerima,0
pius ix was a patron of the arts like most of his predecessors,0
tustin is a village in osceola county michigan of the us state of michigan,0
Send a confirmation email to the vendor regarding the order placed.,1
osawatomie is surrounded by the two rivers,0
"Prepare some hot pakoras, it's raining heavily outside.",1
how many e's are in sesame,1
how much have i spent eating out this week,1
in south africa the most notable company is,0
level crossing  industrial railway spur serving ellison flour mill,0
My mother-in-law makes the best gajar ka halwa in the whole world.,0
this lasted until the mines closure in 1913,0
expressed mississippi is,0
he was otherwise preserved by smoking his body professor,0
tell me how to make beef wellington,1
of the hours volume iii 14 february,0
"My aunt makes the most delicious pickles, ever.",0
could you link with my phone,1
the upper zambezi was captured as well,0
go back to normal mode please,1
"in tokyo, what's the time",1
this also may have been due to,0
my utility bill is coming due and i need a loan,1
how do the anti-lock brakes work,1
"i need assistance figuring out how to rollover my 401k, please",1
I'm pretty sure the numbers in this report are accurate.,0
It’s quite astonishing how quickly children pick up new languages.,0
where do i find the irs form that tells me the amount of money i owe them,1
where do i go to get my w2 for tax reasons,1
The sheer vastness of the universe often makes my problems feel small.,0
middle john school rm50,0
how do i change my billing address,1
what's my pay for this week,1
how much is 1 share of aapl,1
Collate feedback from all team members.,1
"i don't have any more steak, please put that on my grocery list",1
please set a timer for,1
firing the weapon counts as one move,0
the fewer as performance,0
nolan ryan struck out 383 batters in,0
it could spend one month docked,0
what is my meeting schedule like for the day,1
i felt hopeless and i just couldnt cope and then i just lost all perspective on things,0
what timezone is honolulu in,1
variants worksheets may include them,0
currently there have been convertibles made from the first second and fourth generation preludes,0
what are my recent purchases,1
this species eats insects and berries,0
it doesnt seem like it could reveal much,0
is it difficult to learn a semitic language,1
procedure to change oil in car,1
2004 was arguably henmans best year on tour,0
The price of edible oil has suddenly spiked in the last month.,0
ampule and cover,0
the sailors are carrying norinco sks rifles,0
i need information on today's date,1
where are you originally from before coming here,1
it was now inevitable that settlement would occur,0
The Northern Lights must be an absolutely incredible sight to behold.,0
what's traffic usually like around 5pm going to the bank,1
i need you to create a timer,1
That particular chaiwala makes the perfect roadside tea.,0
asteroid france most chasubles,0
Please dispose of the kitchen waste bag in the designated bins.,1
fjh von 1857 account of some new australian plants,0
it saw embarked service on the county class destroyer,0
in 1990 he contributed to japanese musician ryuichi sakamotos album beauty,0
he was buried at st giles cathedral in edinburgh,0
"to visit cambodia, do i need an international visa",1
he was best known in the west for his diplomatic negotiation skills,0
The concept of time being cyclical is common in many Indian philosophies.,0
however most of the musical elements of black metal were still present,0
My throat gets dry easily in the office AC air.,0
i need you to flip a coin,1
i need to know my spending limit on my visa,1
Who is the current Chief Minister of Tamil Nadu?,1
Remind me to wish Aunt Meena 'Happy Anniversary' on the 15th of this month.,1
in practice the granting of assent is purely ceremonial,0
until introduction into circulation the banknotes were kept in canada,0
can you talk in spanish,1
the origin of these letters is disputed,0
queen elizabeth is not an american citizen,0
the n2 crosses the river boyne south of the village,0
florrie thought ena to be somewhat morbid,0
she is rich beautiful and completely amoral,0
bring up my location,1
the city of stockholm is the capital of sweden,0
also known as the lemon rock,0
london gazette 24 february 1857,0
Prepare a brief presentation on the Q2 sales performance.,1
i need to know how long it will take me to get to the bank,1
what is the time frame for receiving a new credit card if my original one gets lost,1
Tell the security guard to keep an eye on visitors during the party tonight.,1
state highway commission and town benefactor,0
are there any current travel alerts for brazil,1
change language please,1
what's on for sports today,1
north of the bowl lies parts of tanglewood,0
the crushers did more than host,0
My cousins from Canada are visiting us during Christmas holidays.,0
what percentage of species display cold blooded traits,1
The taste of filter coffee in Tamil Nadu is uniquely refreshing.,0
Kindly clear the old newspapers and sell them to the raddiwala.,1
the brick and limestone kremlin in zaraysk still stands and is kept in a rather good condition,0
set up two alarms one for 10am and another for 2pm,1
way to change car oil,1
I need to visit the bank tomorrow for some urgent work regarding my account.,0
here are the primary strokes,0
al walid was succeeded by his brother suleiman of umayyad,0
report my card as lost,1
wikipedia talkselected anniversariesmarch 30   edit,0
in the dark heaven destroyed the fortress pool,0
what other personality type is most compatible with infjs,1
Clean your room before grandma visits.,1
has anyone looked over my request for a day off,1
do you have a list of funny jokes,1
representing the condition as a differential,0
This season's mangoes are slightly less sweet than last year.,0
how does my name appear,1
"Um, could you maybe, like, check if the files have synced properly?",1
epics have nine main characteristics,0
my card is broken,1
soup is followed by a main dish,0
what is the process for making a vacation request,1
many radio 4 programmes are pre recorded,0
however some models have yet more versions,0
help me get an uber to ann arbor,1
here bi is again the difficulty parameter,0
peter guber recalls the first seven minutes there were 342 fucks,0
Could you quickly find the definition of this medical term?,1
"Assistant, show me how to make masala chai, proper Indian style.",1
what is 900 times 8,1
can you tell me how changes on my insurance policy can be made,1
the nemean games were held from 573 bc or earlier at the sanctuary of zeus at nemea,0
its discontinued for long and is available only used,0
i wish to know your hobbies,1
what are the steps to jump start my car,1
Suggest some popular historical novels about ancient India.,1
Please instruct the cleaning staff to focus on the kitchen area today.,1
the sovereign state,0
"This problem needs a different approach, I think our current one is flawed.",0
i wanna know when my flight scheduled to board,1
sony is headquartered in minato,0
there is a longstanding literary history by and about opium users,0
i want everything on my shopping list to be ordered,1
The kulfi at that corner shop is just out of this world.,0
Send a WhatsApp message to Suresh: 'Are you coming for the match tonight?',1
can you show me my credit card number,1
considerations relating to the study of group differences in intelligence,0
"So, essentially, like, we're gonna have to, uh, redo the whole thing?",1
kent later follows to protect him,0
ddr festival dance dance revolution,0
"That roadside vendor makes the spiciest pani puri, worth crying over.",0
please let me know if my discover card application has been approved,1
instead there are two tiers or levels of government city and county,0
"Achcha, so you are saying the match starts at 8?",0
"That artist's use of colour is simply mesmerising, very vibrant.",0
she showed me her room,0
My dadi used to tell the best bedtime stories.,0
he had her join in the nations plan to reform libraries and schools to start a national education system,0
where should i go to eat tonight,1
The... uh... thingamajig... for the printer... order more.,1
look up hotels with positive reviews in new york city,1
File these invoices alphabetically when you get a chance.,1
"My laptop needs software update, getting notification every day.",0
what other nations were involved in the chinese trade war,1
"if a recipe calls for sour cream, can i use yogurt",1
i'm grateful for the answer you just gave me,1
Her artistic style is so unique and instantly recognizable.,0
his photometer was probably suggested by this appliance,0
thereafter she retired from fleetwood mac altogether,0
The design of that new silk saree was absolutely gorgeous.,0
"what is the distance to austin city limits from my hotel , the holiday inn at austin",1
the publishers eventually rectified this,0
and the lorenz curve is calculated to be,0
when is my electric bill due,1
residents of cosby and cataloochee did likewise,0
chimpanzees have great difficulty in similar innovative tasks,0
triglav is a unity of three gods,0
what topics can you answer questions on,1
2006 voyage to italy canadian center for architecture montreal,0
Fetch the quarterly earnings report from the database.,1
let’s chat using spanish,1
what is the conversion between tablespoons and cups,1
"This discussion seems to be going nowhere, no concrete outcome.",0
Ensure all luggage is tagged properly before checking it in for the flight.,1
"My car's air filter needs cleaning, smells a bit musty inside.",0
on july 29 1914 the tsar ordered full mobilization,0
how safe is visiting canada this week,1
they are a part of the gchshcl,0
the widal reaction is strongly positive with antio and antih antibodies,0
The view from the terrace during sunrise is absolutely stunning.,0
i would like to try and confirm that i have a reservation at applebee's for kristen,1
how soon does it take a card new card to get mailed to me,1
what was the date of my last paycheck,1
extent common champion subject,0
daytons primary nickname is the gem city,0
"It's my mom's birthday, I need to buy her a gift and then call her tonight.",1
give me a cool fact about seattle,1
what is playing,1
precipitation is heavily concentrated in the warmer months,0
2g networks were built mainly for voice services and slow data transmission,0
in prologue in the,0
how are you,1
how much air do i have in my tires,1
"The Wi-Fi password for this cafe is written on the board, I see.",0
who are some notable alumni of ucsd,1
local agricultural products include apples chestnuts wine grapes and rice,0
please reminder for car meet,1
how do i change my pin number for my payroll account,1
catching up with tameka catchings usabasketballcom accessed january 20 2007,0
Set a daily reminder for taking my medicines in the morning after breakfast.,1
tell me how to say hello in chile,1
how is life treating you,1
otherwise you dont have enough information,0
arley hall a historic house is nearby,0
please make sure oranges are on my shopping list,1
he said of the paleoconservative movement,0
The annual town festival always has the best street food.,0
i created a sex diet article,0
it consists of all levels of riding and all disciplines,0
10 minutes is the setting for the timer,1
That roadside fruit stall always has the freshest produce.,0
who's toledo's starting point guard for the next game,1
would you let me know what flights are available out of dallas to el paso on march 20 for under $400,1
his starting salary was 1200 per year,0
when was nintendo created,1
fall remains relatively warm through november,0
southern louisiana receives far more copious rainfall especially during the winter months,0
change your language setting to spanish,1
that seems true,1
there were only 2690 free persons of color,0
My mobile screen cracked when it fell down yesterday.,0
"Suggest some good South Indian restaurants in this area, please.",1
of meaning is on,0
what organization manufactures you,1
giustino is just made that way,0
169 of all households were made up of individuals and 27 had someone living alone who was 65 years of age or older,0
Could be worth exploring a different approach.,1
"Close the windows, it looks like it's about to pour.",1
it is still replayed on highlights shows to this day,0
I'm surprised they managed to finish it on time.,0
"This office meeting is dragging on for too long, no clear agenda.",0
It's a well-known fact that exercise improves mood.,0
u of delaware press newark,0
the economic recession of the early 1980s hurt the company,0
will i have to wait a long time to receive my new credit card after i lost my old one,1
say my name in a sentence,1
i do not have that information,1
rutsey played drums in rush from summer 1968 until july 1974,0
reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler,1
The way bees communicate through dance is utterly fascinating.,0
there were plans to establish ave maria university on land occupied by dominos farms,0
convert krugerrands to saudi riyal,1
"I urgently need to get a new pair of spectacles, this one is giving trouble.",0
wounded decepticons were set adrift in space   including megatron,0
inform me as to the plug type of the country,1
let me know when you were made,1
the town is named after henry remsen an early settler,0
show my transaction statement,1
"Hey, could you, like, snag me one of those bagels if you're going downstairs?",1
and is restricted in amplitude to be,0
create a new text,1
how do i say thank you in japanese,1
"Water the plants thoroughly today, it's been too hot.",1
what is my name,1
She has a remarkable ability to connect with people.,0
the album was produced by jim dickinson,0
what is needed you to cook apple pie,1
timer 10 minutes,1
i would like to try and confirm that i have a reservation at outback for josh,1
the light fades and the credits roll,0
what types of things can i ask the ai,1
Could we switch the brand of detergent powder we use?,1
the show ran for two seasons,0
in 997 danish raids began again,0
today  do thin models warp girls body image,0
could you please reserve a table for 6 at lucille's under the name tom at 5pm,1
20 with its capital at arbil modern day arbil iraq,0
Add 'brainstorm marketing ideas' to tomorrow's agenda and send out the calendar invite.,1
on as,0
even here germanisation threatened the native language and culture,0
we apologise for any embarrassment,0
im particularly curious regarding talkeaster bradforddelete,0
"Bring in the clothes from the drying rack outside, it's getting humid.",1
i just don't know,1
can you tell me the expiration date for my mastercard,1
how old are you,1
can you send me a new credit card please mine is getting old and unusable,1
"Turn on Do Not Disturb mode for the next two hours, I have a presentation.",1
adjust windshield wipers,1
"Put these dishes in the dishwasher, will you?",1
report highly wrote the,0
"can you put a stop on my bank account, please",1
if obstruction is complete a surgery is required,0
to charles l parker res,0
of to fantasy his,0
perhaps either of them,1
although horniman had designed the costumes neither she nor lady gregory were present,0
does france have any current travel alerts,1
"That street magician was amazing, his tricks were mind-blowing.",0
my luggage was lost so what do i do,1
how can i become an aerospace engineer,1
i need to block all transactions from going through on my citi checking account straight away,1
skip this song and play the next one,1
the launch is planned for october 2010,0
can you find out what triggered a hold on my bank account,1
opened the idea,0
main article great central railway locomotives,0
"Purchase additional printer paper rolls, the stock is very low.",1
"Siri, how long will it take to drive to the airport?",1
which timezone contains the city of orlando,1
it is abbreviated phrag in trade journals,0
on october 26 1858 sunrise was organized as a township,0
start speaking in a male british voice,1
are you real or an ai,1
please set a timer to go off in 45 minutes,1
"Google, open Swiggy app for me.",1
Prepare a slide summarizing the Q3 results.,1
misperceived as a coup by zhang news of the incident shocked the world,0
nutrition information of mashed potatoes,1
please change your language setting to russian,1
please double check on my reservations for buffalo wild wings at five for the game,1
My father retired last year and is enjoying his time playing cards.,0
adios ai,1
The user experience of this app is remarkably intuitive.,0
nicholas ray an american journey great britain faber and faber limited 1993 page 144,0
"His knowledge about Indian classical music is quite vast, impressive.",0
Could you please check the status of my online order for books?,1
the two talk briefly then keyser appears to shoot keaton before setting the ship ablaze,0
when am i paid or how often,1
Show me how to make authentic Hyderabadi biryani step by step.,1
"If it's not too late, cancel my 3 PM meeting with Marketing.",1
11a52 was an alphanumeric designation for the n1 on its design and production documents,0
do you know how to say where is the restroom in french,1
Could you remind me about the society annual general meeting next Saturday?,1
how can i see my rewards for my chase card,1
what is 1 fifth times 2 fifths,1
how many days have i taken off so far,1
Add 'recharge Metro card' and 'buy adapter' to my tasks for tomorrow.,1
i need to book a reservation for 3 at xenophobe under the name zebee,1
"My internet keeps disconnecting every hour, very annoying problem.",0
Can you spell 'pronunciation' for me correctly?,1
what's the order of the circle of fifths,1
i need you to go into whisper mode,1
You might want to consider a different font for the header; that one's a bit hard to read.,1
fair someone and up,0
tell me an axolotl fact,1
ostensibly when is my flight going to land,1
french polynesia has five administrative subdivisions,0
the principal harp is nancy allen harpist,0
please get me an update on the status of my credit card application,1
who were you created by,1
what month are mosquitoes the worst in the united states,1
his father worked mainly as a woodcarver,0
her gun ignites the gas,0
you shall address me as nick,1
among the more notable of these are,0
"Take these files down to legal, they're expecting them.",1
synthetic hair is much less expensive than human hair,0
and i shall have him,0
how do i jump start my battery,1
do i have graham crackers on my shopping list if not please add it,1
That old building in the lane was just demolished last week.,0
when is the next day i get paid,1
in this section f is a real numbervalued riemann integrable function mathematics,0
"Let's try to, you know, uh, wrap this up in the next, like, ten minutes.",1
aircraft anthony of,0
a negative cautiousness stands for recklessness psychology imprudence immoderation,0
how many centimeters are in 5 yards,1
"Play the song 'Dil Chahta Hai' for me, na.",1
"Okay Google, start my 'Evening Walk' workout.",1
The keynote speaker was quite engaging.,0
tell me the traffic at lexington,1
"Book a hair salon appointment for Saturday morning, earlier the better.",1
these were designated titan 23g,0
how many calories in chicken,1
awdal region consists of four districts,0
"Put the laptop on charging, the battery is very low.",1
tell me something interesting about new york state,1
this genus is abbreviated eupha in horticultural trade,0
The street food festival in town was really crowded last weekend.,0
rzahnians a humanoid race with red skin,0
over time however some dhds have been damaged or lost,0
"This isn't the final plan, just a draft for discussion.",0
Let's call everyone for dinner by 8 o'clock sharp.,1
looking forward to your reply,0
how many miles away am i from madison square garden,1
columbias largest suburbs and environs presently are,0
continued abolitionist in and,0
"Review this code for any potential security vulnerabilities, would you?",1
a social and popular dance reader,0
"Update the patient's chart with these latest lab results, please.",1
the family moved to north york ontario,0
the accident resulted in ten deaths,0
what's the most effective bug repellant,1
august the a to,0
